pet_id,pet_scientific_name,pet_vernacular_name,pet_genus,pet_family,pet_body_shape,pet_traits,pet_max_length,pet_max_weight,pet_longevity,pet_habitat,pet_temperature,pet_ph_range,pet_water_hardness,pet_tank_size,pet_migration_type,pet_danger,pet_is_native,pet_comments,pet_aquarium,pet_cost,pet_image_ref,pet_banned,pet_invasive_risk,pet_care_level,pet_diet
1t,Acanthochelys macrocephala,"Pantanal swamp turtle, Big-headed pantanal swamp turtle",Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, black brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Dark yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",29.5,2.895,8.2,Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
2t,Acanthochelys pallidipectoris,Chaco side-necked turtle,Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown, olive color"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",29.5,0.872,8.2,Grassland/Wetlands,,,,120.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates""}"
3t,Acanthochelys radiolata,Brazilian radiolated swamp turtle,Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",20.0,1.126,8.2,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Aquatic Insects, Small Fish, Shrimp, Worms And Some Small Amphibians""}"
4t,Acanthochelys spixii,"Black spiny-necked turtle, Spix’s sideneck turtle",Acanthochelys,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, olive color"", ""dorsal_colour"": ""Black/Brown/Grayish brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Black""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",18.0,0.759,8.2,Wetlands,,,,70.0,,,Not Native,"Used as Pets/display animals, horticulture. Side-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Snails And Larval Amphibians， Aquatic Plants""}"
5t,Actinemys pallida,"Southern pacific pond turtle, Southwestern pond turtle, Tortuga de charcos",Actinemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown"", ""dorsal_colour"": ""Brown/Black"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",21.3,0.325,70.0,Wetlands,,,,80.0,,,Not Native,"Used as Pets/display animals, Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
6t,Aldabrachelys gigantea,Aldabra giant tortoise,Aldabrachelys,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish, bluish black to black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Dark grey""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",123.0,310.0,187.0,Forest,,,,480.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Mostly herbivorous on low-lying grasses \nand sedges; woody plants such as shrubby \nfig trees""}"
7t,Amyda cartilaginea,Asiatic softshell turtle,Amyda,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Grayish green, olive color"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""The ventral nail is white in male and grey in female""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Unspecified""}",80.0,202.0,7.3,Forest/Wetlands,,,,310.0,,,Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
8t,Amyda ornata,Southeast asian softshell turtle,Amyda,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Brown black ,  reddish brown"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",65.0,10.21,7.3,Forest/Wetlands,,,,260.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
9t,Apalone ferox,Florida softshell turtle,Apalone,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Dark green with a large number of black diffuse spots"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""White""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",76.0,23.463,36.75,Forest/Wetlands,,,,300.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
10t,Apalone mutica,Smooth softshell turtle,Apalone,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Yellow, yellowish brown to dark chocolate"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""White""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unknown""}",36.0,4.663,20.0,Wetlands,,,,140.0,,,Not Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish, Plants""}"
11t,Apalone spinifera,Northern spiny softshell turtle,Apalone,Trionychidae,"{""turtle"": {""shell_type"": ""Softshell"", ""no_of_toes_fore"": 3, ""no_of_toes_hind"": 3}}","{""turtle"": {""carapace_colour"": ""Olive color brown light grayish color"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",55.0,14.274,50.0,Wetlands,,,,220.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
12t,Astrochelys radiata,Radiated tortoise,Astrochelys,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow radiation pattern"", ""dorsal_colour"": ""Black"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",41.0,16.0,85.0,Marine Coastal/Shrubland,,,,160.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Plants""}"
13t,Astrochelys yniphora,Ploughshare tortoise,Astrochelys,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Khaki brown speckle"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",51.9,18.9,100.0,Forest/Shrubland,,,,200.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Many Types Of Fruits, Leaves""}"
14t,Batagur affinis,Southern river terrapin,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish , grayish black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""White""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",62.5,38.0,21.7,Wetlands,,,,250.0,,,Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal but nesting occurs at night activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Invertebrates""}"
15t,Batagur baska,Northern river terrapin,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",60.9,26.232,21.8,Forest/Wetlands,,,,240.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Invertebrates""}"
16t,Batagur borneoensis,Painted terrapin,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Light yellow , black speckle"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",76.0,50.848,6.8,Forest/Marine Neritic,,,,300.0,,,Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves;Wood, Bark, Or Stems;Fruit;Flowers""}"
17t,Batagur dhongoka,Three-striped roofed turtle,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Light yellow to black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",48.0,14.044,6.8,Wetlands,,,,190.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Stems, Leaves And Fruits""}"
18t,Batagur kachuga,Red-crowned roofed turtle,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, olive green"", ""dorsal_colour"": ""Blue/Red/Yellow/White"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",56.0,21.624,14.2,Wetlands,,,,220.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Aquatic Plants And Fruits""}"
19t,Batagur trivittata,Burmese roofed turtle,Batagur,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown, light brown"", ""dorsal_colour"": ""Yellow"", ""dorsal_pattern"": ""Striped"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",62.0,23.856,14.2,Wetlands,,,,240.0,,,Not Native,Used as Food-human. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.,,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Invertebrates""}"
20t,Caretta caretta,Loggerhead turtle,Caretta,Cheloniidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 2, ""no_of_toes_hind"": 2}}","{""turtle"": {""carapace_colour"": ""Back brown red ,  brown red"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Lemon yellow or yellow""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",213.0,250.0,76.0,Marine Neritic,,,,840.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Omnivorous on extensive array of marine \nanimals, including horseshoe crabs and \nother invertebrates; marine plants""}"
21t,Carettochelys insculpta,Pig-nosed turtle,Carettochelys,Carettochelyidae,"{""turtle"": {""shell_type"": ""Leathery skin"", ""no_of_toes_fore"": 2, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish , olive grayish"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""White""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",75.0,30.0,38.4,Wetlands,,,,300.0,,,Not Native,"Used as Establishing ex-situ production, Food-human, pets. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
22t,Centrochelys sulcata,African spurred tortoise,Centrochelys,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black edge grayish yellow scale"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",101.0,100.0,100.0,Grassland/Shrubland,,,,400.0,,,Not Native,"Used as Establishing ex-situ production, Food-human, pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Succulent Plants""}"
23t,Chelodina burrungandjii,"Arnhem snake-necked turtle, Sandstone snake-necked turtle",Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown to black"", ""dorsal_colour"": ""Brown/Black"", ""dorsal_pattern"": ""Reticulated"", ""underside_colour"": ""Yellowish brown""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Stable""}",31.6,3.424,37.0,Wetlands,,,,120.0,,,Not Native,"Used as Food-human, Pets/display animals. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Primarily Fish""}"
24t,Chelodina canni,Cann’ s snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",27.9,2.13,37.0,Wetlands,,,,110.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians;Fish;Mollusks;Aquatic Crustaceans""}"
25t,Chelodina expansa,Broad-shelled snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellowish brown""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",50.0,9.45,20.0,Wetlands,,,,200.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
26t,Chelodina gunaleni,Gunalen’ s snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",23.9,1.736,37.0,Forest,,,,90.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
27t,Chelodina ipudinapi,Aramia snake-necked turtle ,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",29.6,1.95,37.0,Forest,,,,120.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
28t,Chelodina kuchlingi,Kuchling’s snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan, reddish brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Reddish brown""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",31.5,1.95,37.0,Wetlands,,,,120.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
29t,Chelodina kurrichalpongo,Darwin snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark grayish"", ""dorsal_colour"": ""Black/Brown/Gray"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",31.5,1.95,37.0,Wetlands,,,,120.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
30t,Chelodina longicollis,"Eastern snake-necked turtle, Common snake-necked turtle",Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black, brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Cream yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unspecified""}",28.2,1.293,37.0,Wetlands,,,,110.0,,,Not Native,Used as Food-human. Side-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
31t,Chelodina mccordi,Roti snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish brown , dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",24.1,2.34,37.0,Wetlands,,,,90.0,,,Not Native,Used as Pets. Side-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.,,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians;Fish;Carrion;Insects;Mollusks;Aquatic Or Marine Worms""}"
32t,Chelodina novaeguineae,New guinea snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unspecified""}",30.0,3.016,37.0,Wetlands,,,,120.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates, Fish""}"
33t,Chelodina oblonga,"Narrow-breasted snake-necked turtle, Southwestern snake-necked turtle",Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Light brown"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Reddish brown""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",31.0,1.175,4.4,Wetlands,,,,120.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates, Fish""}"
34t,Chelodina parkeri,Parker's snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Tan"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow, reddish brown""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Decreasing""}",35.3,4.478,30.0,Forest/Wetlands,,,,140.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates, Fish""}"
35t,Chelodina pritchardi,Pritchard's snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black brown yellowish brown, brown grayish"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow or yellowish brown""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",22.8,1.548,37.0,Wetlands,,,,90.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
36t,Chelodina reimanni,Reimann's snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black brown, brown , black"", ""dorsal_colour"": ""Black/Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Near Threatened (as of 2024)"", ""iucn_trend"": ""Unspecified""}",37.0,1.365,37.0,Wetlands,,,,150.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Invertebrates""}"
37t,Chelodina rugosa,Northern snake-necked turtle,Chelodina,Chelidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 4, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Grayish,  khakiish, dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Light yellow""}, ""iucn_status"": ""Not Assessed (as of 2024)"", ""iucn_trend"": ""Unknown""}",36.0,5.356,37.0,Wetlands,,,,140.0,,,Not Native,"Used as Food-human, Pets. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Carnivorous"", ""remarks"": ""Amphibians, Invertebrates, Fish""}"
