pet_id,pet_scientific_name,pet_vernacular_name,pet_genus,pet_family,pet_body_shape,pet_traits,pet_max_length,pet_max_weight,pet_longevity,pet_habitat,pet_temperature,pet_ph_range,pet_water_hardness,pet_tank_size,pet_migration_type,pet_danger,pet_is_native,pet_comments,pet_aquarium,pet_cost,pet_image_ref,pet_banned,pet_invasive_risk,pet_care_level,pet_diet
115t,Erymnochelys madagascariensis,Madagascar big-headed turtle,Erymnochelys,Podocnemididae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellowish brown""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",48.0,11.155,23.5,Wetlands,,,,190.0,,,Not Native,"Used as Pets/display animals, horticulture, Food - human, Establishing ex-situ production. Side-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Opportu-Nistic, Omnivorous Feeding""}"
116t,Geochelone elegans,Indian star tortoise,Geochelone,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown, black, with yellow radial patterns"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""White, yellow, black""}, ""iucn_status"": ""Vulnerable (as of 2024)"", ""iucn_trend"": ""Decreasing""}",46.7,9.519,24.3,Forest/Grassland/Shrubland,,,,180.0,,,Not Native,"Used as Food - human, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Grasses, Herbaceous Leaves, Flowers, Fruit, And Sometimes Insects, Carrion, And Dung""}"
117t,Geochelone platynota,Burmese star tortoise,Geochelone,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown, black"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow, black""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Increasing""}",45.5,4.981,50.0,Forest/Shrubland,,,,180.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Nocturnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Fruit, Prickly Cacti, Thick-Leaved Plants And Thistles""}"
118t,Geoclemys hamiltonii,Spotted pond turtle,Geoclemys,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Black"", ""dorsal_colour"": ""Black"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Brown""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",41.0,9.032,19.2,Wetlands,,,,160.0,,,Not Native,"Used as Establishing ex-situ production , Food - human. Hidden-necked retraction mechanism. Usually exhibits Primarily crepuscular but they are fond of basking activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Shellfish, Plant Stems And Leaves, Insects And Fish""}"
119t,Geoemyda japonica,Ryukyu black-breasted leaf turtle,Geoemyda,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown, brown , darkbrown"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Black or dark brown, yellow""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Unspecified""}",17.0,0.683,20.0,Wetlands,,,,70.0,,,Not Native,Used as Pets. Hidden-necked retraction mechanism. Usually exhibits Crepuscular activity patterns.,,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
120t,Geoemyda spengleri,Black-breasted leaf turtle,Geoemyda,Geoemydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellow"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Brown black""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",13.0,0.362,20.0,Forest/Wetlands,,,,50.0,,,Not Native,"Used as Medicine - human & veterinary, Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Earthworms, Crickets, Snails, Slugs;Invertebrates, Plants""}"
121t,Glyptemys insculpta,Wood turtle,Glyptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown, grayish brown"", ""dorsal_colour"": ""Brown/Yellow"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Yellow black spot""}, ""iucn_status"": ""Endangered (as of 2024)"", ""iucn_trend"": ""Decreasing""}",24.4,1.599,60.0,Forest/Grassland/Shrubland/Wetlands,,,,100.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
122t,Glyptemys muhlenbergii,Bog turtle,Glyptemys,Emydidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Brown black, black"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Blotched"", ""underside_colour"": ""Black""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Unknown""}",11.5,0.243,40.0,Forest/Grassland/Shrubland/Wetlands,,,,50.0,,,Not Native,"Used as Pets/display animals, horticulture. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Omnivorous"", ""remarks"": ""Invertebrates, Plants""}"
123t,Gopherus agassizii,"Mojave desert tortoise, Agassiz's desert tortoise",Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Yellowish brown, dark brown"", ""dorsal_colour"": ""Brown/Green"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Khaki""}, ""iucn_status"": ""Critically Endangered (as of 2024)"", ""iucn_trend"": ""Unspecified""}",40.0,10.956,100.0,Shrubland,,,,160.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Cathemeral activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
124t,Gopherus berlandieri,Berlandier's tortoise,Gopherus,Testudinidae,"{""turtle"": {""shell_type"": ""Hardshell"", ""no_of_toes_fore"": 5, ""no_of_toes_hind"": 4}}","{""turtle"": {""carapace_colour"": ""Dark brown"", ""dorsal_colour"": ""Brown"", ""dorsal_pattern"": ""Uniform"", ""underside_colour"": ""Yellow""}, ""iucn_status"": ""Least Concern (as of 2024)"", ""iucn_trend"": ""Unspecified""}",24.0,3.022,60.0,Desert/Shrubland,,,,90.0,,,Not Native,"Used as Food-human, Pets. Hidden-necked retraction mechanism. Usually exhibits Diurnal activity patterns.",,,,,,,"{""main_type"": ""Herbivorous"", ""remarks"": ""Leaves, Bark, Stems, Fruits, And/Or Flowers Of Trees, Shrubs, Woody Vines, Succulents, Perennial And Annual Grasses, Herbaceous Perennials, And Annuals""}"
