Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Atheriniformes,Atherinidae,"Atherinomorus lacunosus","Hardyhead silverside",native,"Malay : Paku perak","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Atlac_u7.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Atrobucca kyushini","Black-spot croaker",native,"Malay : Gelama tanda","No picture yet."
Carangiformes,Carangidae,"Atropus armatus","Longfin trevally",native,"Malay : Demudok putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Caarm_u2.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Atropus atropos","Cleftbelly trevally",native,"Malay : Cermin","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Atatr_f0.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Atropus hedlandensis","Bumpnose trevally",native,"Malay : Demudok lekuk","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cahed_u3.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Atropus mentalis","Longrakered trevally",native,"Malay : Sagai mulut hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ulmen_u0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Atrosalarias holomelas","Brown coral blenny",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Atfus_u3.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Atule mate","Yellowtail scad",native,"Malay : Pelata","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Atmat_u6.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Aurigequula fasciata","Striped ponyfish",native,"Malay : Kekek belang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lefas_u0.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Aurigequula longispinis","Longspine ponyfish",native,"Malay : Kekek dwifilamen","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Lelon_u1.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Auriglobus modestus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Aumod_u0.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Auriglobus nefastus","Greenbottle pufferfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Aunef_u0.jpg"", ""Open image"")"
