Order,Family,Species,"FishBase name",Occurrence,"Name(s) in Territory",Pictures
Gobiiformes,Gobiidae,"Ctenogobiops aurocingulus","Gold-streaked prawn-goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ctaur_u2.jpg"", ""Open image"")"
Tetraodontiformes,Diodontidae,"Cyclichthys orbicularis","Birdbeak burrfish",native,"Malay : Buntal-landak paruh burung","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyorb_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Cyclocheilichthys apogon","Beardless barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Cyapo_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Cyclocheilichthys armatus",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyarm_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Cyclocheilichthys enoplos",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyeno_u2.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Platycephalidae,"Cymbacephalus beauforti","Crocodile fish",native,"Malay : Baji karang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cybea_u5.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Platycephalidae,"Cymbacephalus bosschei","Small-eyed flathead",native,"Malay : Baji mata kecil","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pabos_u0.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Platycephalidae,"Cymbacephalus nematophthalmus","Fringe-eyed flathead",native,"Malay : Baji baji","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cynem_u4.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus arel","Largescale tonguesole",native,"Malay : Lidah sisik besar","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyare_u1.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus bilineatus","Fourlined tonguesole",native,"Malay : Lidah pasir","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cybil_u0.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus cynoglossus","Bengal tongue sole",native,"Malay : Lidah-lidah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Cycyn_u0.gif"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus feldmanni","River tonguesole",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyfel_u0.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus kapuasensis",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Cykap_u0.gif"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus kopsii","Shortheaded tonguesole",native,"Malay : Lidah kepala kecil","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cykop_u0.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus lida","Roughscale tonguesole",native,"Malay : Lidah sisik kasar","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cylid_u0.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus lingua","Long tongue sole",native,"Malay : Lidah panjang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cylin_u1.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus microlepis","Smallscale tonguesole",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cymic_u0.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus puncticeps","Speckled tonguesole",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cypun_u5.jpg"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus sibogae",,native,,"No picture yet."
Pleuronectiformes,Cynoglossidae,"Cynoglossus trulla","Macau sole",native,"Malay : Lidah trijalur","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Cybor_u0.gif"", ""Open image"")"
Pleuronectiformes,Cynoglossidae,"Cynoglossus waandersii",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Cywaa_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Cyprinus carpio","Common carp",introduced,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cycar_uv.jpg"", ""Open image"")"
Zeiformes,Parazenidae,"Cyttopsis rosea","Rosy dory",native,"Malay : Dory ros","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Cyros_u2.jpg"", ""Open image"")"
Dactylopteriformes,Dactylopteridae,"Dactyloptena macracantha","Spotwing flying gurnard",native,"Malay : Belalang sayap","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Damac_u0.jpg"", ""Open image"")"
Dactylopteriformes,Dactylopteridae,"Dactyloptena orientalis","Oriental flying gurnard",native,"Malay : Belalang terbang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Daori_u3.jpg"", ""Open image"")"
Callionymiformes,Callionymidae,"Dactylopus dactylopus","Fingered dragonet",native,"Malay : Bebaji naga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dadac_u0.jpg"", ""Open image"")"
Callionymiformes,Callionymidae,"Dactylopus kuiteri","Orange-black dragonet",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dakui_j1.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Danio albolineatus","Pearl danio",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Daalb_u6.jpg"", ""Open image"")"
Cypriniformes,Danionidae,"Danio kerri","Blue danio",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Daker_u2.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dascyllus trimaculatus","Threespot dascyllus",native,"Malay : Gombing-karang tanda putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Datri_u1.jpg"", ""Open image"")"
Acanthuriformes,Lobotidae,"Datnioides polota",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Coqua_u1.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus kurroides","Redtail scad",native,"Malay : Selayang ekor merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dekur_u2.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus macarellus","Mackerel scad",native,"Malay : Selayang sardine","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Demac_u1.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus macrosoma","Shortfin scad",native,"Malay : Selayang jarum","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Demac_u8.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus maruadsi","Japanese scad",native,"Malay : Selayang mata besar","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Demar_u3.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus russelli","Indian scad",native,"Malay : Selayang curut; Malay : Selayang lampai; ","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Derus_u5.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Decapterus tabl","Roughear scad",native,"Malay : Selayang lampai merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Detab_u2.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Scorpaenidae,"Dendrochirus biocellatus","Twospot turkeyfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Debio_u6.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Scorpaenidae,"Dendrochirus brachypterus","Dwarf lionfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Debra_u9.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Scorpaenidae,"Dendrochirus zebra","Zebra turkeyfish",native,"Malay : Depu-singa zebra","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dezeb_ub.jpg"", ""Open image"")"
Eupercaria/misc,Sciaenidae,"Dendrophysa russelii","Goatee croaker",native,"Malay : Gelama-janggut tanda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Derus_u1.jpg"", ""Open image"")"
Atheriniformes,Dentatherinidae,"Dentatherina merceri","Mercer's tusked silverside",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Demer_u0.gif"", ""Open image"")"
Beloniformes,Zenarchopteridae,"Dermogenys bispina",,native,,"No picture yet."
Beloniformes,Zenarchopteridae,"Dermogenys collettei",,native,,"No picture yet."
Cypriniformes,Cyprinidae,"Desmopuntius hexazona","Six-banded tiger barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Puhex_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Desmopuntius johorensis","Striped barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Pueug_u0.gif"", ""Open image"")"
Cypriniformes,Cyprinidae,"Desmopuntius pentazona","Fiveband barb",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Pupen_u1.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Deveximentum hanedai",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Sehan_u0.gif"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Deveximentum insidiator","Pugnose ponyfish",native,"Malay : Sekiki muncung","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Seins_u1.jpg"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Deveximentum megalolepis","Bigscale ponyfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Semeg_u0.gif"", ""Open image"")"
Acanthuriformes,Leiognathidae,"Deveximentum ruconius","Deep pugnose ponyfish",native,"Malay : Sekiki bulat","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Seruc_u1.jpg"", ""Open image"")"
Eupercaria/misc,Haemulidae,"Diagramma melanacrum","Blackfin slatey",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dimel_u1.jpg"", ""Open image"")"
Eupercaria/misc,Haemulidae,"Diagramma pictum","Painted sweetlips",native,"Malay : Kaci mandiabu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dipic_jb.jpg"", ""Open image"")"
Ophidiiformes,Dinematichthyidae,"Diancistrus altidorsalis","Humpbacked coralbrotula",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Dialt_m0.gif"", ""Open image"")"
Myctophiformes,Myctophidae,"Diaphus dahlgreni",,native,,"No picture yet."
Tetraodontiformes,Tetraodontidae,"Dichotomyctere fluviatilis","Green pufferfish",native,"Malay : Buntal-gigi hijau","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Teflu_u0.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Dichotomyctere kretamensis",,native,,"No picture yet."
Tetraodontiformes,Tetraodontidae,"Dichotomyctere nigroviridis","Spotted green pufferfish",native,"Malay : Buntal-gigi kupang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Tenig_u0.jpg"", ""Open image"")"
Tetraodontiformes,Tetraodontidae,"Dichotomyctere ocellatus","Eyespot pufferfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Chbio_u6.jpg"", ""Open image"")"
Tetraodontiformes,Diodontidae,"Diodon holocanthus","Longspined porcupinefish",native,"Malay : Buntal-landak panjang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dihol_u3.jpg"", ""Open image"")"
Tetraodontiformes,Diodontidae,"Diodon hystrix","Spot-fin porcupinefish",native,"Malay : Buntal-landak tanda","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dihys_ub.jpg"", ""Open image"")"
Tetraodontiformes,Diodontidae,"Diodon liturosus","Black-blotched porcupinefish",native,"Malay : Buntal-landak tompok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dilit_u8.jpg"", ""Open image"")"
Perciformes/Serranoidei,Liopropomatidae,"Diploprion bifasciatum","Barred soapfish",native,"Malay : Kerapu sebekah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dibif_uf.jpg"", ""Open image"")"
Eupercaria/misc,Caesionidae,"Dipterygonotus balteatus","Mottled fusilier",native,"Malay : Anak riok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dibal_u0.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Discherodontus halei",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dihal_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus chrysopoecilus","White-spot damsel",native,"Malay : Bombin-tanda lagun","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dichr_u2.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus fasciatus","Banded damsel",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Difas_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus melanotus","Blackvent damsel",native,"Malay : Bombin-tanda perut","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dimel_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus perspicillatus","White damsel",native,"Malay : Bombin-tanda putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Diper_u0.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus prosopotaenia","Honeyhead damsel",native,"Malay : Bombin-tanda madu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dipro_u2.jpg"", ""Open image"")"
Ovalentaria/misc,Pomacentridae,"Dischistodus pseudochrysopoecilus","Monarch damsel",native,"Malay : Bombin-tanda emas","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dipse_u0.jpg"", ""Open image"")"
Gobiiformes,Gobiidae,"Discordipinna filamentosa",,native,,"No picture yet."
Gobiiformes,Gobiidae,"Discordipinna griessingeri","Spikefin goby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Digri_u4.jpg"", ""Open image"")"
Atheriniformes,Atherinidae,"Doboatherina aetholepis","Spatular-scale silverside",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ataet_u0.jpg"", ""Open image"")"
Syngnathiformes,Syngnathidae,"Doryichthys boaja",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Doboa_u5.jpg"", ""Open image"")"
Syngnathiformes,Syngnathidae,"Doryichthys deokhatoides",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Dodeo_u0.jpg"", ""Open image"")"
Syngnathiformes,Syngnathidae,"Doryichthys martensii","Martens’s freshwater pipefish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Domar_u0.jpg"", ""Open image"")"
Syngnathiformes,Syngnathidae,"Doryrhamphus negrosensis","Negros pipefish",native,,"No picture yet."
Gobiiformes,Gobiidae,"Dotsugobius bleekeri","Dark mangrovegoby",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Loble_u0.jpg"", ""Open image"")"
Acanthuriformes,Drepaneidae,"Drepane longimana","Concertina fish",native,"Malay : Daun-baru belang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Drlon_u0.jpg"", ""Open image"")"
Acanthuriformes,Drepaneidae,"Drepane punctata","Spotted sicklefish",native,"Malay : Daun-baru bintik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Drpun_u2.jpg"", ""Open image"")"
Clupeiformes,Dussumieriidae,"Dussumieria albulina","Lancer rainbow sardine",native,"Malay : Tamban-buluh pelangi","No picture yet."
Clupeiformes,Dussumieriidae,"Dussumieria elopsoides","Slender rainbow sardine",native,"Malay : Tamban-buluh bulat","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Duelo_u1.jpg"", ""Open image"")"
Clupeiformes,Dussumieriidae,"Dussumieria hasseltii","Hasselt's rainbow sardine",native,,"No picture yet."
Carangiformes,Echeneidae,"Echeneis naucrates","Live sharksucker",native,"Malay : Tapak kasut","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecnau_ud.jpg"", ""Open image"")"
Anguilliformes,Muraenidae,"Echidna nebulosa","Starry moray",native,"Malay : Belut-laut belang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecneb_u1.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius bathi","Bath's comb-tooth",native,"Malay : Bleni kepala kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecbat_m0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius bimaculatus","Twinspot coralblenny",native,"Malay : Bleni dwitompok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecbim_f0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius lineatus","Linear blenny",native,"Malay : Bleni garis","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eclin_u0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius lividanalis","Blackspot coralblenny",native,"Malay : Bleni kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecliv_u0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius melarchus","Yellow-eyed comb-tooth",native,"Malay : Bleni celak kuning","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecmel_u0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius paroculus","Spottedback coralblenny",native,,"No picture yet."
Blenniiformes,Blenniidae,"Ecsenius schroederi","Schroeder's coralblenny",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecsch_u0.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius tricolor","Tricolor coralblenny",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ectri_u4.jpg"", ""Open image"")"
Blenniiformes,Blenniidae,"Ecsenius yaeyamaensis","Yaeyama blenny",native,"Malay : Bleni Yaeyama","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ecyae_u4.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Eirmotus octozona",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eioct_u0.jpg"", ""Open image"")"
Carangiformes,Carangidae,"Elagatis bipinnulata","Rainbow runner",native,"Malay : Pisang-pisang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elbip_u7.jpg"", ""Open image"")"
Perciformes/Scorpaenoidei,Platycephalidae,"Elates ransonnettii","Dwarf flathead",native,"Malay : Baji tirus","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elran_u1.jpg"", ""Open image"")"
Gobiiformes,Eleotridae,"Eleotris acanthopomus","Spinecheek gudgeon",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elaca_u0.jpg"", ""Open image"")"
Gobiiformes,Eleotridae,"Eleotris melanosoma","Broadhead sleeper",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elmel_u0.jpg"", ""Open image"")"
Callionymiformes,Callionymidae,"Eleutherochir opercularis","Flap-gilled dragonet",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Elope_u0.gif"", ""Open image"")"
Carangaria/misc,Polynemidae,"Eleutheronema tetradactylum","Fourfinger threadfin",native,"Malay : Senangin rambu empat","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eltet_u2.jpg"", ""Open image"")"
Carangaria/misc,Polynemidae,"Eleutheronema tridactylum","Threefinger threadfin",native,"Malay : Senangin rambu tiga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eltri_u0.jpg"", ""Open image"")"
Mugiliformes,Mugilidae,"Ellochelon vaigiensis","Squaretail mullet",native,"Malay : Belanak loban","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Livai_u2.jpg"", ""Open image"")"
Cypriniformes,Ellopostomatidae,"Ellopostoma megalomycter",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Elmeg_u0.gif"", ""Open image"")"
Elopiformes,Elopidae,"Elops hawaiensis","Hawaiian ladyfish",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elhaw_u2.jpg"", ""Open image"")"
Elopiformes,Elopidae,"Elops machnata",Tenpounder,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Elmac_u0.jpg"", ""Open image"")"
Siluriformes,Clariidae,"Encheloclarias baculum",,native,,"No picture yet."
Siluriformes,Clariidae,"Encheloclarias curtisoma",,endemic,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Encur_u0.jpg"", ""Open image"")"
Siluriformes,Clariidae,"Encheloclarias kelioides",,native,,"No picture yet."
Clupeiformes,Engraulidae,"Encrasicholina heteroloba","Shorthead anchovy",native,"Malay : Bunga air kepala pendek","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Enhet_u1.jpg"", ""Open image"")"
Clupeiformes,Engraulidae,"Encrasicholina punctifer","Buccaneer anchovy",native,"Malay : Bunga air tembaga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Enpun_u1.jpg"", ""Open image"")"
Pleuronectiformes,Bothidae,"Engyprosopon grandisquama","Largescale flounder",native,"Malay : Sebelah ekor tompok","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Engra_u4.jpg"", ""Open image"")"
Pleuronectiformes,Bothidae,"Engyprosopon mogkii",,native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Enmog_u0.gif"", ""Open image"")"
Blenniiformes,Tripterygiidae,"Enneapterygius pallidoserialis","Pale white-spotted triplefin",native,"Malay : Tribleni pucat","No picture yet."
Blenniiformes,Tripterygiidae,"Enneapterygius philippinus","Minute triplefin",native,"Malay : Tribleni mata bonjol","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Enphi_u0.jpg"", ""Open image"")"
Blenniiformes,Tripterygiidae,"Enneapterygius similis","Black-and-Red Triplefin",native,"Malay : Tribleni hitam merah","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ensim_m0.jpg"", ""Open image"")"
Blenniiformes,Tripterygiidae,"Enneapterygius unimaculatus","Onespot triplefin",native,"Malay : Tribleni tanda","No picture yet."
Blenniiformes,Blenniidae,"Entomacrodus decussatus","Wavy-lined blenny",native,"Malay : Bleni alun","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Endec_u1.jpg"", ""Open image"")"
Cypriniformes,Cyprinidae,"Epalzeorhynchos kalopterum","Flying fox",native,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epkal_u0.jpg"", ""Open image"")"
Acanthuriformes,Ephippidae,"Ephippus orbis",Orbfish,native,"Malay : Beluru","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eporb_u0.jpg"", ""Open image"")"
Eupercaria/misc,Labridae,"Epibulus insidiator","Sling-jaw wrasse",native,"Malay : Nuri sumpit","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epins_u6.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus amblycephalus","Banded grouper",native,"Malay : Kerapu belang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epamb_u1.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus areolatus","Areolate grouper",native,"Malay : Kerapu bintik bulat","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epare_u8.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus bleekeri","Duskytail grouper",native,"Malay : Kerapu ekor gelap","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epble_ua.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus coeruleopunctatus","Whitespotted grouper",native,"Malay : Kerapu bintik putih","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epcae_u1.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus coioides","Orange-spotted grouper",native,"Malay : Kerapu bintik jingga","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epcoi_uc.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus corallicola","Coral grouper",native,"Malay : Kerapu karang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epcor_u5.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus cyanopodus","Speckled blue grouper",native,"Malay : Kerapu biru bintik","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epcya_u7.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus erythrurus","Cloudy grouper",native,"Malay : Kerapu tompok awan","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epery_u2.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus fasciatomaculosus","Rock grouper",native,"Malay : Kerapu batu","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epfas_um.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus fasciatus","Blacktip grouper",native,"Malay : Kerapu sirip hitam","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epfas_u0.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus fuscoguttatus","Brown-marbled grouper",native,"Malay : Kerapu harimau","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Epfus_u0.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus heniochus","Bridled grouper",native,"Malay : Kerapu kertas","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Ephen_u0.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus lanceolatus","Giant grouper",native,"Malay : Kerapu pertang","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eplan_u6.jpg"", ""Open image"")"
Perciformes/Serranoidei,Epinephelidae,"Epinephelus latifasciatus","Striped grouper",native,"Malay : Kerapu garis","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Eplat_u1.jpg"", ""Open image"")"
